Fabricante,Vida_Util
1,684
1,831
1,859
1,893
1,922
1,939
1,972
1,1016
1,697
1,835
1,860
1,899
1,924
1,943
1,977
1,1041
1,720
1,848
1,868
1,905
1,926
1,946
1,984
1,1052
1,773
1,852
1,870
1,909
1,926
1,954
1,1005
1,1080
1,821
1,852
1,876
1,911
1,938
1,971
1,1014
1,1093
2,819
2,907
2,952
2,994
2,1016
2,1038
2,1096
2,1153
2,836
2,912
2,959
2,1004
2,1018
2,1072
2,1100
2,1154
2,888
2,918
2,962
2,1005
2,1020
2,1077
2,1113
2,1174
2,897
2,942
2,986
2,1007
2,1022
2,1077
2,1113
2,1188
2,903
2,943
2,992
2,1015
2,1034
2,1082
2,1116
2,1230
